title,artist,track_id
Time of Our Lives,Pitbull,NOT_FOUND
Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7
Wait a Minute!,WILLOW,0y60itmpH0aPKsFiGxmtnh
Wannabe,Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT
What I've Done,Linkin Park,18lR4BzEs7e3qzc0KVkTpU
What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y
Where Is The Love?,Black Eyed Peas,3CNqo3gYrfexdrtjFmC9he
Wrecking Ball,Miley Cyrus,NOT_FOUND
Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5BenrbY
...Baby One More Time,Britney Spears,3MjUtNVVq3C8Fn0MP3zhXa
All Falls Down,Kanye West,NOT_FOUND
Back To Black,Amy Winehouse,30FURVTCpbKyykjSEQzGkH
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,NOT_FOUND
Before He Cheats,Carrie Underwood,0ZUo4YjG4saFnEJhdWp9Bt
Best Day Of My Life,American Authors,5Hroj5K7vLpIG4FNCRIjbP
Budapest,George Ezra,2ixsaeFioXJmMgkkbd4uj1
Calling My Phone,Lil Tjay,3J8EOeKLTLXORtWPpOU5bE
Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV
Complicated,Avril Lavigne,5xEM5hIgJ1jjgcEBfpkt2F
Danza Kuduro,Don Omar,0rCxlp7KdpW1JR8uG6Uno0
Dark Horse,Katy Perry,4XKMwPSJtsiXOWOvjqWJ5V
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,NOT_FOUND
DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj
Drag Me Down,One Direction,2K87XMYnUMqLcX3zvtAF4G
Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq
Faded,Alan Walker,7gHs73wELdeycvS48JfIos
Forgot About Dre,Dr. Dre,7iXF2W9vKmDoGAhlHdpyIa
Gimme More,Britney Spears,6ic8OlLUNEATToEFU3xmaH
Gold Digger,Kanye West,NOT_FOUND
Good Days,SZA,NOT_FOUND
Goodbyes (feat. Young Thug),Post Malone,NOT_FOUND
Hall of Fame (feat. will.i.am),The Script,7wMq5n8mYSKlQIGECKUgTX
Havana (feat. Young Thug),Camila Cabello,1rfofaqEpACxVEHIZBJe6W
How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J
How You Remind Me,Nickelback,0gmbgwZ8iqyMPmXefof8Yf
